ID,B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
025,Colourblind,Birthday on a Holiday,Moved to the City This Year,Allergies,License for Something Other than Driving,Loves Broccoli,Watched The Bear on Disney Plus,Rides a Motorcycle,Reads Horror,Plays Dungeons and Dragons,Acted in a Play or Musical,Volunteers with a Non-Profit,Is worthy of love. (Put your own name here!),Correctly Spells Fuschia on the First Try,Holds a Martial Art Rank,Sleeps with a Stuffed Animal,Authored a Fanfic,Watches the Same Movie or Show Repeatedly,Favourite Snack That Most People Find Gross,Bubble Bather,Sniffs New Books Loudly,Organizes Spices Alphabetically,Carries a Small Toy,Abstract Dreamer,Wears Mismatched Socks
026,Tattooed,Citizen of Another Country,Went to College,License for Something Other than Driving,Birthday on a Holiday,Hiker,Plays on a Team,Plays Dungeons and Dragons,Runner,Paints,Volunteers with a Non-Profit,Won an Award,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Holds a Martial Art Rank,Published a Book or Article,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Eats in Bed,Plays Video Games for Hours,Watches the Same Movie or Show Repeatedly,Follows Horoscopes in Secret,Carries a Small Toy,Wears Mismatched Socks,Organizes Spices Alphabetically,Pees in the Shower,Sniffs New Books Loudly
027,Went to College,Middle Child,Moved to the City This Year,Birthday on a Holiday,License for Something Other than Driving,Watched The Bear on Disney Plus,Hiker,Loves Broccoli,Reads Horror,Eats Fries With Vinegar,Overcame a Fear,Acted in a Play or Musical,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Volunteers with a Non-Profit,Correctly Spells Fuschia on the First Try,Watches Reality TV,Follows Horoscopes in Secret,Authored a Fanfic,Dances When Nobody's Watching,Favourite Snack That Most People Find Gross,Carries a Small Toy,Speaks to Houseplants,Dances Like Nobody’s Watching (But Everybody’s Watching),Organizes Spices Alphabetically,Pees in the Shower
028,Middle Child,Grew Up in a Small Town,Military Brat,Allergies,Colourblind,Runner,Reads Horror,Eats Fries With Vinegar,Watched The Bear on Disney Plus,Plays on a Team,Won an Award,Overcame a Fear,Is worthy of love. (Put your own name here!),Acted in a Play or Musical,Correctly Spells Fuschia on the First Try,Sings in the Shower,Dances When Nobody's Watching,Plays Video Games for Hours,Authored a Fanfic,Spies on the Neighbours,Gets the ASMR Tinglies,Doodles in the Margins,Checks the Oven Three Times Before Leaving Home,Abstract Dreamer,Speaks to Houseplants
029,Allergies,Citizen of Another Country,Middle Child,Birthday on a Holiday,Military Brat,Rides a Motorcycle,Read the book Bear,Knits,Runner,Loves Broccoli,Mentor,Acted in a Play or Musical,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Volunteers with a Non-Profit,Published a Book or Article,Watches the Same Movie or Show Repeatedly,Sleeps with a Stuffed Animal,Watches Reality TV,Spies on the Neighbours,Bubble Bather,Abstract Dreamer,Wears Mismatched Socks,Tapes Over Laptop Camera,Doodles in the Margins,Sniffs New Books Loudly
030,Birthday on a Holiday,Tattooed,Moved to the City This Year,Citizen of Another Country,Middle Child,Watched The Bear on Disney Plus,Read the book Bear,Loves Broccoli,Eats Fries With Vinegar,Hates Broccoli,Correctly Spells Fuschia on the First Try,Showcased Art in an Exhibit,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Published a Book or Article,Mentor,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Sings in the Shower,Favourite Snack That Most People Find Gross,Eats in Bed,Sleeps with a Stuffed Animal,Wears Sunglasses Indoors,Abstract Dreamer,Tapes Over Laptop Camera,Gets the ASMR Tinglies,Carries a Small Toy
031,Birthday on a Holiday,Military Brat,Colourblind,Tattooed,Middle Child,Loves Broccoli,Plays on a Team,Runner,Watched The Bear on Disney Plus,Reads Horror,Overcame a Fear,Showcased Art in an Exhibit,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Volunteers with a Non-Profit,Acted in a Play or Musical,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Spies on the Neighbours,Sleeps with a Stuffed Animal,Plays Video Games for Hours,Authored a Fanfic,Organizes Spices Alphabetically,Dances Like Nobody’s Watching (But Everybody’s Watching),Wears Sunglasses Indoors,Checks the Oven Three Times Before Leaving Home,Tapes Over Laptop Camera
032,Colourblind,Grew Up in a Small Town,License for Something Other than Driving,Tattooed,Birthday on a Holiday,Loves Broccoli,Runner,Watched The Bear on Disney Plus,Eats Fries With Vinegar,Plays Dungeons and Dragons,Published a Book or Article,Speaks Another Language Fluently,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Acted in a Play or Musical,Correctly Spells Fuschia on the First Try,Spies on the Neighbours,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Bubble Bather,Favourite Snack That Most People Find Gross,Authored a Fanfic,Abstract Dreamer,Organizes Spices Alphabetically,Pees in the Shower,Wears Mismatched Socks,Sniffs New Books Loudly
033,Military Brat,Colourblind,Tattooed,Moved to the City This Year,License for Something Other than Driving,Plays Dungeons and Dragons,Plays on a Team,Knits,Hiker,Watched The Bear on Disney Plus,Volunteers with a Non-Profit,Published a Book or Article,Free Tile (Tile did nothing wrong!),Correctly Spells Fuschia on the First Try,Showcased Art in an Exhibit,Authored a Fanfic,Plays Video Games for Hours,Dances When Nobody's Watching,Watches Reality TV,Sings in the Shower,Pees in the Shower,Abstract Dreamer,Wears Sunglasses Indoors,Carries a Small Toy,Sniffs New Books Loudly
034,Middle Child,Moved to the City This Year,Allergies,Citizen of Another Country,Grew Up in a Small Town,Runner,Plays Dungeons and Dragons,Knits,Eats Fries With Vinegar,Hates Broccoli,Published a Book or Article,Speaks Another Language Fluently,Is worthy of love. (Put your own name here!),Acted in a Play or Musical,Overcame a Fear,Plays Video Games for Hours,Sleeps with a Stuffed Animal,Watches the Same Movie or Show Repeatedly,Favourite Snack That Most People Find Gross,Dances When Nobody's Watching,Abstract Dreamer,Dances Like Nobody’s Watching (But Everybody’s Watching),Wears Sunglasses Indoors,Organizes Spices Alphabetically,Sniffs New Books Loudly
035,Citizen of Another Country,Tattooed,Birthday on a Holiday,Military Brat,Allergies,Watched The Bear on Disney Plus,Rides a Motorcycle,Hates Broccoli,Reads Horror,Paints,Overcame a Fear,Holds a Martial Art Rank,Is worthy of love. (Put your own name here!),Acted in a Play or Musical,Published a Book or Article,Plays Video Games for Hours,Spies on the Neighbours,Sings in the Shower,Authored a Fanfic,Dances When Nobody's Watching,Pees in the Shower,Organizes Spices Alphabetically,Abstract Dreamer,Speaks to Houseplants,Wears Mismatched Socks
036,Tattooed,Allergies,Grew Up in a Small Town,Citizen of Another Country,Moved to the City This Year,Plays Dungeons and Dragons,Knits,Hiker,Loves Broccoli,Rides a Motorcycle,Correctly Spells Fuschia on the First Try,Won an Award,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Holds a Martial Art Rank,Published a Book or Article,Dances When Nobody's Watching,Favourite Snack That Most People Find Gross,Follows Horoscopes in Secret,Authored a Fanfic,Watches Reality TV,Wears Sunglasses Indoors,Checks the Oven Three Times Before Leaving Home,Organizes Spices Alphabetically,Speaks to Houseplants,Doodles in the Margins
037,License for Something Other than Driving,Moved to the City This Year,Allergies,Tattooed,Birthday on a Holiday,Reads Horror,Hiker,Watched The Bear on Disney Plus,Read the book Bear,Hates Broccoli,Speaks Another Language Fluently,Showcased Art in an Exhibit,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Won an Award,Overcame a Fear,Authored a Fanfic,Bubble Bather,Favourite Snack That Most People Find Gross,Dances When Nobody's Watching,Spies on the Neighbours,Doodles in the Margins,Gets the ASMR Tinglies,Speaks to Houseplants,Pees in the Shower,Dances Like Nobody’s Watching (But Everybody’s Watching)
038,Citizen of Another Country,Allergies,License for Something Other than Driving,Colourblind,Grew Up in a Small Town,Runner,Loves Broccoli,Rides a Motorcycle,Hates Broccoli,Knits,Acted in a Play or Musical,Holds a Martial Art Rank,Is worthy of love. (Put your own name here!),Published a Book or Article,Won an Award,Sleeps with a Stuffed Animal,Watches Reality TV,Spies on the Neighbours,Authored a Fanfic,Sings in the Shower,Gets the ASMR Tinglies,Checks the Oven Three Times Before Leaving Home,Tapes Over Laptop Camera,Speaks to Houseplants,Pees in the Shower
039,Moved to the City This Year,Colourblind,Middle Child,Allergies,Grew Up in a Small Town,Read the book Bear,Hiker,Loves Broccoli,Rides a Motorcycle,Paints,Overcame a Fear,Holds a Martial Art Rank,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Published a Book or Article,Won an Award,Spies on the Neighbours,Bubble Bather,Favourite Snack That Most People Find Gross,Follows Horoscopes in Secret,Sings in the Shower,Wears Mismatched Socks,Sniffs New Books Loudly,Gets the ASMR Tinglies,Wears Sunglasses Indoors,Speaks to Houseplants
040,Grew Up in a Small Town,Tattooed,Citizen of Another Country,Moved to the City This Year,Birthday on a Holiday,Reads Horror,Watched The Bear on Disney Plus,Loves Broccoli,Hiker,Plays Dungeons and Dragons,Showcased Art in an Exhibit,Won an Award,Is worthy of love. (Put your own name here!),Correctly Spells Fuschia on the First Try,Overcame a Fear,Favourite Snack That Most People Find Gross,Sleeps with a Stuffed Animal,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Plays Video Games for Hours,Bubble Bather,Carries a Small Toy,Sniffs New Books Loudly,Abstract Dreamer,Organizes Spices Alphabetically,Checks the Oven Three Times Before Leaving Home
041,Birthday on a Holiday,Citizen of Another Country,License for Something Other than Driving,Allergies,Tattooed,Runner,Read the book Bear,Loves Broccoli,Hates Broccoli,Plays Dungeons and Dragons,Showcased Art in an Exhibit,Correctly Spells Fuschia on the First Try,Free Tile (Tile did nothing wrong!),Volunteers with a Non-Profit,Holds a Martial Art Rank,Favourite Snack That Most People Find Gross,Spies on the Neighbours,Follows Horoscopes in Secret,Sleeps with a Stuffed Animal,Bubble Bather,Dances Like Nobody’s Watching (But Everybody’s Watching),Speaks to Houseplants,Doodles in the Margins,Sniffs New Books Loudly,Abstract Dreamer
042,Tattooed,Went to College,License for Something Other than Driving,Moved to the City This Year,Allergies,Plays on a Team,Watched The Bear on Disney Plus,Reads Horror,Eats Fries With Vinegar,Runner,Published a Book or Article,Overcame a Fear,Is worthy of love. (Put your own name here!),Won an Award,Volunteers with a Non-Profit,Bubble Bather,Sings in the Shower,Eats in Bed,Favourite Snack That Most People Find Gross,Spies on the Neighbours,Speaks to Houseplants,Pees in the Shower,Carries a Small Toy,Organizes Spices Alphabetically,Checks the Oven Three Times Before Leaving Home
043,Allergies,License for Something Other than Driving,Grew Up in a Small Town,Citizen of Another Country,Moved to the City This Year,Hiker,Watched The Bear on Disney Plus,Plays on a Team,Loves Broccoli,Rides a Motorcycle,Correctly Spells Fuschia on the First Try,Holds a Martial Art Rank,Is worthy of love. (Put your own name here!),Speaks Another Language Fluently,Published a Book or Article,Watches the Same Movie or Show Repeatedly,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Authored a Fanfic,Watches Reality TV,Sings in the Shower,Speaks to Houseplants,Carries a Small Toy,Pees in the Shower,Organizes Spices Alphabetically,Dances Like Nobody’s Watching (But Everybody’s Watching)
044,Tattooed,Colourblind,Birthday on a Holiday,Middle Child,Moved to the City This Year,Runner,Loves Broccoli,Hates Broccoli,Plays Dungeons and Dragons,Plays on a Team,Overcame a Fear,Won an Award,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Acted in a Play or Musical,Mentor,Watches the Same Movie or Show Repeatedly,Authored a Fanfic,Plays Video Games for Hours,Sleeps with a Stuffed Animal,Spies on the Neighbours,Dances Like Nobody’s Watching (But Everybody’s Watching),Organizes Spices Alphabetically,Pees in the Shower,Wears Mismatched Socks,Carries a Small Toy
045,Moved to the City This Year,Tattooed,Birthday on a Holiday,Colourblind,Allergies,Hiker,Eats Fries With Vinegar,Paints,Watched The Bear on Disney Plus,Plays Dungeons and Dragons,Volunteers with a Non-Profit,Acted in a Play or Musical,"Is going to win this BINGO game. (Put your name here and consider this a free space. If it turns out you're wrong, no one will ever know!)",Published a Book or Article,Showcased Art in an Exhibit,Authored a Fanfic,Sleeps with a Stuffed Animal,Spies on the Neighbours,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Plays Video Games for Hours,Dances Like Nobody’s Watching (But Everybody’s Watching),Wears Sunglasses Indoors,Checks the Oven Three Times Before Leaving Home,Gets the ASMR Tinglies,Wears Mismatched Socks
046,Middle Child,Allergies,Citizen of Another Country,Tattooed,License for Something Other than Driving,Eats Fries With Vinegar,Hiker,Plays Dungeons and Dragons,Plays on a Team,Hates Broccoli,Won an Award,Speaks Another Language Fluently,"Can kiss their elbow. (Okay, no one can do that. You can have this one free!)",Published a Book or Article,Correctly Spells Fuschia on the First Try,Spies on the Neighbours,Watches Reality TV,Bubble Bather,Sleeps with a Stuffed Animal,Can’t Keep a Plant Alive but Doesn’t Stop Trying!,Checks the Oven Three Times Before Leaving Home,Dances Like Nobody’s Watching (But Everybody’s Watching),Gets the ASMR Tinglies,Organizes Spices Alphabetically,Tapes Over Laptop Camera
